Label,trench_index,x_start,y_start,lon_start,lat_start,x_end,y_end,lon_end,lat_end
# A,2,-2758.14,-3948.85,235.07,40.88,-2420.00,-4270.00,240.46,39.61
B,4,-2754.36,-3907.16,234.82,41.38,-2380.00,-4220.00,240.58,40.50
# C,17,-2685.21,-3768.15,234.53,43.43,-2370.00,-4170.00,240.39,41.16
# D,25,-2624.31,-3688.13,234.57,44.73,-2375.00,-4070.00,239.73,42.30
# E,29,-2582.25,-3599.54,234.35,45.95,-2295.00,-3950.00,239.84,44.19
# F,32,-2555.26,-3517.27,234.00,46.97,-2175.00,-3875.00,240.69,45.77
# G,33,-2542.32,-3488.31,233.92,47.35,-2140.00,-3810.00,240.68,46.69
# H,34,-2540.29,-3449.35,233.63,47.75,-2100.00,-3790.00,241.01,47.15
# I,36,-2535.25,-3397.21,233.27,48.29,-2050.00,-3650.00,240.68,48.92
# J,41,-2539.44,-3267.70,232.15,49.49,-2060.00,-3590.00,240.15,49.48
